UID,Assets at risk,Containers/Points of attack,Threat communities,Threat Types,Effects,Scenario,blank-H,Plan A Loss Event Frequency (LEF) Lower Bound,Plan A Loss Event Frequency (LEF) Most Likely,Plan A Loss Event Frequency (LEF) Upper Bound,Plan A Loss Magnitude (LM) Lower Bound,Plan A Loss Magnitude (LM) Most Likely,Plan A Loss Magnitude (LM) Upper Bound,Plan B Control(s),Plan B Initial Control Cost Lower Bound,Plan B Initial Control Cost Most Likely,Plan B Initial Control Cost Upper Bound,Plan B Recurring Control Cost Lower Bound,Plan B Recurring Control Cost Most Likely,Plan B Recurring Control Cost Upper Bound,Plan B Loss Event Frequency (LEF) Lower Bound,Plan B Loss Event Frequency (LEF) Most Likely,Plan B Loss Event Frequency (LEF) Upper Bound,Plan B Loss Magnitude (LM) Lower Bound,Plan B Loss Magnitude (LM) Most Likely,Plan B Loss Magnitude (LM) Upper Bound,Plan C Control(s),Plan C Initial Control Cost Lower Bound,Plan C Initial Control Cost Most Likely,Plan C Initial Control Cost Upper Bound,Plan C Recurring Control Cost Lower Bound,Plan C Recurring Control Cost Most Likely,Plan C Recurring Control Cost Upper Bound,Plan C Loss Event Frequency (LEF) Lower Bound,Plan C Loss Event Frequency (LEF) Most Likely,Plan C Loss Event Frequency (LEF) Upper Bound,Plan C Loss Magnitude (LM) Lower Bound,Plan C Loss Magnitude (LM) Most Likely,Plan C Loss Magnitude (LM) Upper Bound,PLAN-A,PLAN-B,PLAN-C
Risk-1,Non Public Information (NPI),Other devices on Palm Domain,privileged insiders (RBC Bank US & Vendors),deliberately,confidentiality,privileged insiders (RBC Bank US & Vendors) deliberately impact the confidentiality of Non Public Information (NPI) through Other devices on Palm Domain.,NA,0.013333333333333334,0.05,0.5,750000,3000000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.04,0.2,750000,1000000,10000000,"Vuln. scan remediation, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,10000,50000,0,0,0,0.013333333333333334,0.03333333333333333,0.2,750000,1000000,10000000,576728.4128549377,200190.74926037405,182321.52060931234
Risk-2,Non Public Information (NPI),SFQ0 Risk Reporting Server Server on Palm Domain,privileged insiders (RBC Bank US & Vendors),deliberately,confidentiality,privileged insiders (RBC Bank US & Vendors) deliberately impact the confidentiality of Non Public Information (NPI) through SFQ0 Risk Reporting Server Server on Palm Domain.,NA,0.013333333333333334,0.05,0.5,750000,3000000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.04,0.2,750000,1000000,10000000,"Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,10000,50000,0,0,0,0.013333333333333334,0.03333333333333333,0.2,750000,1000000,10000000,537677.0884907854,184534.43050956744,181160.0046630004
Risk-3,Non Public Information (NPI),SFQ0 Risk Reporting Server DEV Server on Palm Domain,privileged insiders (RBC Bank US & Vendors),deliberately,confidentiality,privileged insiders (RBC Bank US & Vendors) deliberately impact the confidentiality of Non Public Information (NPI) through SFQ0 Risk Reporting Server DEV Server on Palm Domain.,NA,0.013333333333333334,0.05,0.5,750000,3000000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.04,0.2,750000,1000000,10000000,"Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,10000,50000,0,0,0,0.013333333333333334,0.03333333333333333,0.2,750000,1000000,10000000,546023.8596228667,199760.92842549406,185674.22186616698
Risk-4,Non Public Information (NPI),Database instance on SFQ0 Risk Reporting Server DEV,privileged insiders (RBC Bank US & Vendors),deliberately,confidentiality,privileged insiders (RBC Bank US & Vendors) deliberately impact the confidentiality of Non Public Information (NPI) through Database instance on SFQ0 Risk Reporting Server DEV.,NA,0.013333333333333334,0.05,0.5,750000,3000000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.04,0.2,750000,1000000,10000000,"Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,10000,50000,0,0,0,0.013333333333333334,0.03333333333333333,0.2,750000,1000000,10000000,558097.605956707,201891.94589799977,182327.81366580052
Risk-5,Non Public Information (NPI),RBC Bank US sysadmin jump stations on Palm Domain,privileged insiders (RBC Bank US & Vendors),deliberately,confidentiality,privileged insiders (RBC Bank US & Vendors) deliberately impact the confidentiality of Non Public Information (NPI) through RBC Bank US sysadmin jump stations on Palm Domain.,NA,0.013333333333333334,0.05,0.5,750000,3000000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.04,0.2,750000,1000000,10000000,"Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,10000,50000,0,0,0,0.013333333333333334,0.03333333333333333,0.2,750000,1000000,10000000,532050.6386464494,186143.20752249498,185966.08206493373
Risk-6,Non Public Information (NPI),Monitored servers on Maple Domain,privileged insiders (RBC Bank US & Vendors),deliberately,confidentiality,privileged insiders (RBC Bank US & Vendors) deliberately impact the confidentiality of Non Public Information (NPI) through Monitored servers on Maple Domain.,NA,0.013333333333333334,0.05,0.5,750000,3000000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.04,0.2,750000,1000000,10000000,"Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,10000,50000,0,0,0,0.013333333333333334,0.03333333333333333,0.2,750000,1000000,10000000,578162.1457291195,187064.7376427773,186595.7335477786
Risk-7,Non Public Information (NPI),Monitored servers on Birch Domain,privileged insiders (RBC Bank US & Vendors),deliberately,confidentiality,privileged insiders (RBC Bank US & Vendors) deliberately impact the confidentiality of Non Public Information (NPI) through Monitored servers on Birch Domain.,NA,0.013333333333333334,0.05,0.5,750000,3000000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.04,0.2,750000,1000000,10000000,"Vuln. scan remediation, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,10000,50000,0,0,0,0.013333333333333334,0.03333333333333333,0.2,750000,1000000,10000000,568638.7179189533,210454.93456779266,188133.52590102132
Risk-8,Non Public Information (NPI),Other devices on Palm Domain,malicious software,deliberately,confidentiality,malicious software deliberately impact the confidentiality of Non Public Information (NPI) through Other devices on Palm Domain.,NA,0.013333333333333334,0.1,0.5,750000,3000000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.07692307692307693,0.2,750000,1000000,10000000,"Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,10000,50000,0,0,0,0.013333333333333334,0.05,0.2,750000,1000000,10000000,668044.8216424315,247255.32376751746,208486.45434559794
Risk-9,Non Public Information (NPI),SFQ0 Risk Reporting Server Server on Palm Domain,malicious software,deliberately,confidentiality,malicious software deliberately impact the confidentiality of Non Public Information (NPI) through SFQ0 Risk Reporting Server Server on Palm Domain.,NA,0.013333333333333334,0.1,0.5,750000,3000000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.07692307692307693,0.2,750000,1000000,10000000,"Vuln. scan remediation, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,10000,50000,0,0,0,0.013333333333333334,0.06666666666666667,0.2,750000,1000000,10000000,657042.1118885874,234114.8051542576,247160.64972477694
Risk-10,Non Public Information (NPI),SFQ0 Risk Reporting Server DEV Server on Palm Domain,malicious software,deliberately,confidentiality,malicious software deliberately impact the confidentiality of Non Public Information (NPI) through SFQ0 Risk Reporting Server DEV Server on Palm Domain.,NA,0.013333333333333334,0.1,0.5,750000,3000000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.07692307692307693,0.2,750000,1000000,10000000,"Vuln. scan remediation, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,10000,50000,0,0,0,0.013333333333333334,0.06666666666666667,0.2,750000,1000000,10000000,684252.586019564,251556.81433025585,239142.9356207669
Risk-11,Non Public Information (NPI),Database instance on SFQ0 Risk Reporting Server DEV,malicious software,deliberately,confidentiality,malicious software deliberately impact the confidentiality of Non Public Information (NPI) through Database instance on SFQ0 Risk Reporting Server DEV.,NA,0.013333333333333334,0.1,0.5,750000,3000000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.07692307692307693,0.2,750000,1000000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,65000,100000,0,0,0,0.013333333333333334,0.06666666666666667,0.2,750000,1000000,10000000,687540.1707877475,247407.224655003,239897.77143070937
Risk-12,Non Public Information (NPI),RBC Bank US sysadmin jump stations on Palm Domain,malicious software,deliberately,confidentiality,malicious software deliberately impact the confidentiality of Non Public Information (NPI) through RBC Bank US sysadmin jump stations on Palm Domain.,NA,0.013333333333333334,0.1,0.5,750000,3000000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.07692307692307693,0.2,750000,1000000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,65000,100000,0,0,0,0.013333333333333334,0.06666666666666667,0.2,750000,1000000,10000000,645009.3427611516,258917.57177935322,236625.00817765266
Risk-13,Non Public Information (NPI),Monitored servers on Maple Domain,malicious software,deliberately,confidentiality,malicious software deliberately impact the confidentiality of Non Public Information (NPI) through Monitored servers on Maple Domain.,NA,0.013333333333333334,0.1,0.5,750000,3000000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.07692307692307693,0.2,750000,1000000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,65000,100000,0,0,0,0.013333333333333334,0.06666666666666667,0.2,750000,1000000,10000000,668001.7690690832,260174.43592973766,233587.95838718198
Risk-14,Non Public Information (NPI),Monitored servers on Birch Domain,malicious software,deliberately,confidentiality,malicious software deliberately impact the confidentiality of Non Public Information (NPI) through Monitored servers on Birch Domain.,NA,0.013333333333333334,0.1,0.5,750000,3000000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.07692307692307693,0.2,750000,1000000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,65000,100000,0,0,0,0.013333333333333334,0.06666666666666667,0.2,750000,1000000,10000000,656694.5431154874,254679.33914896453,245893.49687933683
Risk-15,Non Public Information (NPI),Other devices on Palm Domain,external attackers,deliberately,confidentiality,external attackers deliberately impact the confidentiality of Non Public Information (NPI) through Other devices on Palm Domain.,NA,0.013333333333333334,0.1,0.5,750000,3000000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.07692307692307693,0.2,750000,1000000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,65000,100000,0,0,0,0.013333333333333334,0.06666666666666667,0.2,750000,1000000,10000000,670176.9393077621,251835.85085099385,240243.9771405356
Risk-16,Non Public Information (NPI),SFQ0 Risk Reporting Server Server on Palm Domain,external attackers,deliberately,confidentiality,external attackers deliberately impact the confidentiality of Non Public Information (NPI) through SFQ0 Risk Reporting Server Server on Palm Domain.,NA,0.013333333333333334,0.1,0.5,750000,3000000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.07692307692307693,0.2,750000,1000000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,65000,100000,0,0,0,0.013333333333333334,0.06666666666666667,0.2,750000,1000000,10000000,647824.0293357985,230251.5228513021,235137.91711542077
